Division Name,Estimate,Percent,Division Code
New England Division,5372206,89.9,1
Middle Atlantic Division,14346252,88.4,2
East North Central Division,16525426,87.7,3
West North Central Division,7540658,87.7,4
South Atlantic Division,22413618,88,5
East South Central Division,6357823,84.4,6
West South Central Division,13008421,87,7
Mountain Division,8405706,89.3,8
Pacific Division,17113804,91.4,9
